rank,name,name_ascii,institution,country,gb_rank,leg_rank,n2p1_rank,tp_rank,member_problems,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
1,Janos Pintz,Janos Pintz,Alfréd Rényi Institute of Mathematics,HU,1,2,,1,gb+leg+tp,20,39,368,,26,openalex,1981,2025,,,,
2,Kaisa Matomäki,Kaisa Matomaki,University of Turku,FI,20,1,26,2,gb+leg+n2p1+tp,17,35,349,,16,openalex,2007,2023,,,,
3,Terence Tao,Terence Tao,"University of California, Los Angeles",US,11,3,34,3,gb+leg+n2p1+tp,22,29,912,,101,openalex,2004,2025,,,,
4,Florian Luca,Florian Luca,Stellenbosch University,ZA,74,6,2,5,gb+leg+n2p1+tp,4,6,9,,28,openalex,2000,2023,,,,
5,Daniel A. Goldston,Daniel A. Goldston,San Jose State University,US,6,4,,4,gb+leg+tp,21,41,613,,21,openalex,1984,2023,,,,
6,D. R. Heath-Brown,D. R. Heath-Brown,University of Oxford,GB,61,5,4,9,gb+leg+n2p1+tp,1,17,587,,45,openalex,1978,2021,,,,
7,Joni Teräväinen,Joni Teravainen,University of Cambridge,GB,5,18,30,6,gb+leg+n2p1+tp,15,24,78,,9,openalex,2016,2026,,,,
8,Glyn Harman,Glyn Harman,Royal Holloway University of London,GB,21,8,6,19,gb+leg+n2p1+tp,,11,802,,19,openalex,1981,2024,,,,
9,Henryk Iwaniec,Henryk Iwaniec,Rutgers University,US,68,17,1,24,gb+leg+n2p1+tp,2,1,0,,50,openalex,1972,2022,,,,
10,Stephan Baier,Stephan Baier,Ramakrishna Mission Vivekananda Educational and Research Institute,IN,10,32,8,16,gb+leg+n2p1+tp,18,1,10,,14,openalex,2000,2026,,,,
11,John B. Friedlander,John B. Friedlander,University of Toronto,CA,54,13,3,21,gb+leg+n2p1+tp,1,1,0,,34,openalex,1991,2022,,,,
12,James Maynard,James Maynard,University of Oxford,GB,27,12,23,7,gb+leg+n2p1+tp,12,11,371,,11,openalex,2012,2024,,,,
13,Jörg Brüdern,Jorg Brudern,University of Göttingen,DE,3,40,40,42,gb+leg+n2p1+tp,1,41,456,,19,openalex,1993,2023,,,,
14,Runbo Li,Runbo Li,University of Michigan,US,60,10,18,12,gb+leg+n2p1+tp,5,12,5,,,,2023,2026,,,,
15,Alessandro Languasco,Alessandro Languasco,University of Padua,IT,17,9,,8,gb+leg+tp,13,24,121,,12,openalex,1994,2021,,,,
16,Carl Pomerance,Carl Pomerance,Dartmouth College,US,92,11,12,22,gb+leg+n2p1+tp,2,4,10,,39,openalex,1989,2026,,,,
17,Paul Pollack,Paul Pollack,University of Georgia,US,,21,13,10,gb+leg+n2p1+tp,11,18,123,,13,openalex,2008,2021,,,,
18,Alessandro Zaccagnini,Alessandro Zaccagnini,University of Parma,IT,16,7,,17,gb+leg+tp,14,16,96,,14,openalex,2007,2026,,,,
19,Etienne Fouvry,Etienne Fouvry,Université Paris-Saclay,FR,,23,11,15,gb+leg+n2p1+tp,2,3,37,,28,openalex,1989,2022,,,,
20,Kevin Ford,Kevin Ford,University of Illinois Urbana-Champaign,US,34,19,27,11,gb+leg+n2p1+tp,15,4,9,,,,2000,2026,,,,
21,Igor E. Shparlinski,Igor E. Shparlinski,UNSW Sydney,AU,7,,7,,gb+n2p1,15,29,171,,42,openalex,2005,2026,,,,
22,Trevor D. Wooley,Trevor D. Wooley,Purdue University West Lafayette,US,2,81,64,,gb+leg+n2p1+tp,22,45,643,,28,openalex,1999,2020,,,,
23,Andrew Granville,Andrew Granville,Université de Montréal,CA,39,25,14,35,gb+leg+n2p1+tp,1,3,13,,32,openalex,1988,2024,,,,
24,M. Ram Murty,M. Ram Murty,Queen's University,CA,88,,5,25,gb+n2p1+tp,,8,95,,25,openalex,2005,2023,,,,
25,Jie Wu,Jie Wu,Centre National de la Recherche Scientifique,FR,,22,17,27,gb+leg+n2p1+tp,4,8,55,,,,1990,2019,,,,
26,Yoichi Motohashi,Yoichi Motohashi,Nihon University,JP,,71,9,26,gb+leg+n2p1+tp,5,7,90,,19,openalex,1970,2025,,,,
27,K. Soundararajan,K. Soundararajan,Stanford University,US,,14,58,13,leg+n2p1+tp,12,16,322,,33,openalex,2004,2021,,,,
28,Harold G. Diamond,Harold G. Diamond,University of Illinois Urbana-Champaign,US,,34,31,14,leg+n2p1+tp,,2,21,,19,openalex,1996,1997,,,,
29,Alberto Perelli,Alberto Perelli,University of Genoa,IT,18,37,65,39,gb+leg+n2p1+tp,1,16,249,,20,openalex,1982,2019,,,,
30,Jianya Liu,Jianya Liu,Shandong University,CN,8,65,,71,gb+leg+tp,2,,,,14,openalex,1996,2026,,,,
31,Dieter Wolke,Dieter Wolke,University of Freiburg,DE,64,28,38,29,gb+leg+n2p1+tp,,1,6,,,,1971,1996,,,,
32,William D. Banks,William D. Banks,University of Missouri,US,23,61,46,28,gb+leg+n2p1+tp,10,12,36,,21,openalex,2005,2026,,,,
33,R. C. Vaughan,R. C. Vaughan,Pennsylvania State University,US,12,,22,,gb+n2p1,,14,898,,35,openalex,1972,2025,,,,
34,Jinjiang Li,Jinjiang Li,China University of Mining and Technology (Beijing),CN,4,,,,gb,15,34,38,,6,openalex,2017,2026,,,,
35,Hugh Lowell Montgomery,Hugh Lowell Montgomery,University of Michigan,US,38,56,41,32,gb+leg+n2p1+tp,1,6,872,,32,openalex,1971,2026,,,,
36,Xuancheng Shao,Xuancheng Shao,University of Kentucky,US,15,41,,47,gb+leg+tp,14,20,150,,10,openalex,2012,2025,,,,
37,Angel Kumchev,Angel Kumchev,Towson University,US,26,52,37,60,gb+leg+n2p1+tp,10,15,276,,12,openalex,1999,2022,,,,
38,Ofir Gorodetsky,Ofir Gorodetsky,Technion - Israel Institute of Technology,IL,,15,,18,leg+tp,7,8,29,,5,openalex,2018,2024,,,,
39,Jori Merikoski,Jori Merikoski,University of Helsinki,FI,30,48,61,33,gb+leg+n2p1+tp,11,8,8,,2,openalex,2020,2025,,,,
40,Efthymios Sofos,Efthymios Sofos,University of Glasgow,GB,86,94,10,,gb+leg+n2p1,5,5,8,,7,openalex,2018,2026,,,,
41,Hao Pan,Hao Pan,Nanjing University of Finance and Economics,CN,43,70,43,40,gb+leg+n2p1+tp,6,9,30,,17,openalex,2007,2025,,,,
42,Chaohua Jia,Chaohua Jia,Chinese Academy of Sciences,CN,36,31,,36,gb+leg+tp,1,10,80,,11,openalex,1989,2022,,,,
43,Brad Rodgers,Brad Rodgers,Queen's University,CA,,16,,30,leg+tp,7,8,50,,8,openalex,2020,2022,,,,
44,Alexandru Zaharescu,Alexandru Zaharescu,University of Illinois Urbana-Champaign,US,32,45,71,82,gb+leg+n2p1+tp,6,12,84,,24,openalex,2005,2025,,,,
45,Adrian Dudek,Adrian Dudek,University of Queensland,AU,52,27,,43,gb+leg+tp,7,10,18,,5,openalex,2014,2024,,,,
46,Emmanuel Kowalski,Emmanuel Kowalski,ETH Zurich,CH,81,63,35,70,gb+leg+n2p1+tp,1,1,34,,29,openalex,2004,2015,,,,
47,Tianze Wang,Tianze Wang,Henan Academy of Sciences,CN,9,,,,gb,,,,,2,openalex,1989,2014,,,,
48,Jesse Thorner,Jesse Thorner,University of Illinois Urbana-Champaign,US,,24,87,58,leg+n2p1+tp,8,6,72,,9,openalex,2014,2021,,,,
49,Roger C. Baker,Roger C. Baker,Brigham Young University,US,66,30,,49,gb+leg+tp,3,7,665,,34,openalex,1982,2016,,,,
50,Antal Balog,Antal Balog,Alfréd Rényi Institute of Mathematics,HU,63,68,47,81,gb+leg+n2p1+tp,2,6,66,,18,openalex,1984,2011,,,,
51,Victor Volfson,Victor Volfson,-,RU,,,16,,gb+n2p1+tp,3,1,0,,0,openalex,2014,2026,,,,
52,Vivian Kuperberg,Vivian Kuperberg,ETH Zurich,CH,,38,,23,leg+tp,8,17,12,,3,openalex,2020,2025,,,,
53,András Sárközy,Andras Sarkozy,Eötvös Loránd University,HU,25,,28,,gb+n2p1,,,,,31,openalex,1978,2020,,,,
54,Helmut Maier,Helmut Maier,Universität Ulm,DE,44,49,,51,gb+leg+tp,1,8,191,,18,openalex,1981,2023,,,,
55,Yu-Chen Sun,Yu-Chen Sun,University of Turku,FI,,33,,31,leg+tp,6,,,,,,2018,2022,,,,
56,Stephan Ramon Garcia,Stephan Ramon Garcia,Pomona College,US,,,24,45,n2p1+tp,4,8,30,,27,openalex,2017,2024,,,,
57,Doychin Tolev,Doychin Tolev,"Sofia University ""St. Kliment Ohridski""",BG,56,,39,61,gb+n2p1+tp,1,3,10,,10,openalex,1992,2010,,,,
